Name,Type of Activity,Description,Location,OpeningTimes,OpeningTime,ClosingTime,Duration,Is_Special_Schedule
Stay for the Weekend at Blue Lotus Farm,Outdoor Activity,A family-friendly farm offering accommodation and recreational activities.,30 km southwest of Cairo,N/A  ,,,,False
Go on a Nature Trip at Al Sorat Farm,Outdoor Activity,A farm with various activities including horseback riding and animal interaction.,"Abu Sir, Cairo",N/A  ,,,,False
Watch a Performance at Sitara Theater,Cultural Activity,Interactive performances and workshops for kids.,"Porto Cairo, Cairo",N/A  ,,,,False
Explore Parks in Cairo,Outdoor Activity,Visit various parks for family bonding and picnics.,Various locations in Cairo,N/A  ,,,,False
Have Endless Fun at ClubLiko,Indoor Activity,A large play area with various activities for kids aged 1 to 8.,Cairo,N/A  ,,,,False
Buy Great Souvenir Finds at Khan el-Khalili,Shopping,A famous bazaar for souvenirs and local crafts.,"El-Gamaleya, Cairo",11:00 AM - late night  ,11:00,,,False
Play and Socialize at Kiddles,Indoor Activity,An hourly drop-off center for kids to play and socialize.,Cairo,N/A  ,,,,False
Slide and Jump at Billy Beez Cairo,Indoor Activity,An indoor playground with slides and trampolines for kids aged 3 to 12.,"Mall of Arabia, Cairo",N/A  ,,,,False
Channel Competitive Spirits at Heliopolis Child Museum,Cultural Activity,A children's museum with interactive exhibits about Egyptian civilization.,"Heliopolis, Cairo",N/A  ,,,,False
Climb the Cairo Tower,Outdoor Activity,Enjoy panoramic views of Cairo from the top of the tower.,Cairo,8:00 AM - midnight  ,08:00,,,False
Spend a Sweet Afternoon at Sugar Spell,Indoor Activity,"A candy shop with arts and crafts, games, and a playground.",Cairo,N/A  ,,,,False
Experience the Calm in a Felucca,Outdoor Activity,Sail on the Nile River in a traditional boat.,"Nile River, Cairo",N/A  ,,,,False
Go for a Magical Adventure at Magic Galaxy,Indoor Activity,An indoor amusement center with rides and games.,"City Stars Mall, Cairo",1:00 PM - 11:00 PM  ,13:00,23:00,10.0,False
Get a Weekend Treat at the Swiss Club Cairo,Outdoor Activity,A club with green spaces and playgrounds for family relaxation.,"Villa Pax, Imbaba, Cairo",,,,,False
